,Fecha,Magnitud,Intensidad,GAP,Latitud,Longitud,Lugar,Id,Hipocentro,Region,Pais
18688,2023-02-04 09:11:34.400,2.67,3.1,64.0,35.5225,-120.838,"10km NNE of Cayucos, CA",",nc73841756,us6000jld0,",5.81,California,US
18689,2023-02-04 05:59:44.410,2.79,3.4,19.0,34.0393333,-117.2003333,"2km SW of Redlands, CA",",ci40410680,us6000jlcb,",11.78,California,US
18690,2023-02-04 05:49:45.070,2.51,3.4,15.0,34.524,-118.6701667,"6km NW of Castaic, CA",",ci40410664,us6000jlc9,",2.64,California,US
18698,2023-02-03 19:18:33.507,3.5,4.5,57.0,32.75482178,-100.6529869,"16 km NE of Hermleigh, Texas",",tx2023cjtv,us6000jl88,",8.290161133,Texas,US
18725,2023-02-02 23:44:54.580,2.5,1.0,20.0,33.9721667,-116.8266667,"7km NE of Banning, CA",",ci40165671,us6000jl2y,",17.19,California,US
18726,2023-02-02 23:35:46.520,2.99,3.2,82.0,38.2083333,-119.2108333,"6km SSE of Bridgeport, CA",",nc73841171,nn00855633,us6000jl2v,",10.48,California,US
18736,2023-02-02 15:38:41.100,2.8,2.0,60.0,44.3123,-114.6667,"22 km WNW of Clayton, Idaho",",us6000jkzz,",12.674,Idaho,US
18756,2023-02-02 00:37:11.750,3.11,3.1,41.0,35.5963333,-117.5995,"7km ESE of Ridgecrest, CA",",ci40165247,us6000jkw0,",7.1,California,US
18757,2023-02-02 00:11:01.670,2.9,3.6,24.0,34.3035,-118.4691667,"2km WSW of Sylmar, CA",",us6000jkvy,ci40165223,",2.5,California,US
18771,2023-02-01 10:24:05.550,2.52,4.3,41.0,38.7946667,-122.7386667,"2km NE of The Geysers, CA",",nc73840491,us6000jkpp,",1.49,California,US
18773,2023-02-01 09:05:02.320,3.11,3.3,46.0,33.886,-116.2578333,"14km ENE of Thousand Palms, CA",",ci40164927,us6000jkpd,",3.19,California,US
18777,2023-02-01 06:36:37.629,3.1,3.4,84.0,37.2175,-104.5362,"6 km NNW of Trinidad, Colorado",",us6000jknv,",6.789,Colorado,US
18790,2023-01-31 21:41:15.080,2.64,2.0,145.0,37.4751667,-118.8401667,"17km SW of Toms Place, CA",",nc73840281,us6000jkla,",3.94,California,US
18812,2023-01-31 08:02:50.660,3.25,2.0,158.0,19.2068333333333,-155.388333333333,"9 km E of P?hala, Hawaii",",us6000jkhs,hv73316297,",31.45,Hawaii,US
18815,2023-01-31 03:57:50.740,2.87,2.6,73.0,41.4986667,-112.1866667,Utah,",uu60530617,us6000jkgu,",8.25,Utah,US
18823,2023-01-30 19:28:52.405,3.8,3.3,60.0,45.7449,-110.5969,"9 km NNW of Livingston, Montana",",us6000jke7,",20.111,Montana,US
18841,2023-01-30 05:52:26.129,3.04,3.1,40.0,36.45466667,-98.765,"17 km SE of Waynoka, Oklahoma",",us6000jk96,ok2023cblf,",7.35,Oklahoma,US
18842,2023-01-30 05:32:24.719,3.0,3.1,34.0,36.46,-98.7655,"16 km SE of Waynoka, Oklahoma",",us6000jk94,ok2023cbko,",7.9,Oklahoma,US
18858,2023-01-29 16:25:39.510,2.54,3.1,27.0,38.8301667,-122.795,"6km W of Cobb, CA",",nc73839361,us6000jk6c,",1.11,California,US
18864,2023-01-29 09:30:05.320,2.51999998,2.2,160.0,19.1651668548584,-155.475662231445,"4 km S of P?hala, Hawaii",",hv73315062,us6000jk4x,",31.1700000762939,Hawaii,US
18869,2023-01-29 05:26:30.600,3.07,4.1,193.0,36.25166667,-98.61933333,"12 km W of Fairview, Oklahoma",",us6000jk41,ok2023bzow,",4.06,Oklahoma,US
18870,2023-01-29 04:36:33.940,2.67,4.8,74.0,41.1123333,-111.5961667,Utah,",us6000jk3s,uu60530542,",11.72,Utah,US
18879,2023-01-28 23:56:58.670,3.7,3.4,209.0,40.5355,-124.3973333,"12km WSW of Ferndale, CA",",nc73838976,us6000jk2l,",24.7,California,US
18881,2023-01-28 20:57:32.216,2.5,2.0,88.55,38.1637,-117.838,"34 km SE of Mina, Nevada",",nn00855438,us6000jk1v,",10.2,Nevada,US
18887,2023-01-28 17:16:15.675,3.7,2.2,69.42,38.1734,-117.8643,"32 km SE of Mina, Nevada",",nn00855432,us6000jk0h,",7.9,Nevada,US
18900,2023-01-28 09:39:50.130,2.85,3.8,70.0,41.4953333,-112.1728333,"8 km SW of Corinne, Utah",",uu60530492,us6000jjyw,",4.01,Utah,US
18904,2023-01-28 04:52:36.490,2.87,4.6,33.0,35.00416667,-97.64966667,"3 km SSW of Dibble, Oklahoma",",us6000jjxk,ok2023bxsg,",10.59,Oklahoma,US
18925,2023-01-27 15:39:50.010,2.71,3.8,104.0,19.6461666666667,-155.939,"Island of Hawaii, Hawaii",",us6000jjru,hv73313957,",13.47,Hawaii,US
18926,2023-01-27 15:13:22.100,2.59,2.0,53.0,35.734,-117.6185,"14km NNE of Ridgecrest, CA",",ci40162687,us6000jjrn,",9.61,California,US
18932,2023-01-27 10:28:22.080,3.23,3.4,29.0,40.588,-124.1238333,"3km ESE of Fortuna, CA",",nc73838231,us6000jjn3,",17.1,California,US
18933,2023-01-27 08:22:29.900,3.3,2.0,248.0,40.3655,-127.1541,"246 km W of Ferndale, California",",us6000jjml,nc73838196,",10.0,California,US
18935,2023-01-27 04:47:14.290,2.9,2.0,34.0,31.73685144,-104.1109004,"48 km W of Mentone, Texas",",tx2023bvwo,us6000jjlr,",6.915661621,Texas,US
18946,2023-01-26 20:39:41.340,3.1,2.0,179.0,19.153,-155.372,"12 km ESE of P?hala, Hawaii",",us6000jjjb,hv73313432,",30.08,Hawaii,US
18952,2023-01-26 11:03:18.271,3.2,3.4,70.0,32.75115967,-100.6551305,"16 km NE of Hermleigh, Texas",",tx2023bunm,us6000jjd2,",6.871785482,Texas,US
18956,2023-01-26 07:58:05.400,2.5,2.0,38.0,32.9615,-116.3011667,"26km SW of Ocotillo Wells, CA",",ci40162055,us6000jjcj,",10.43,California,US
18958,2023-01-26 01:26:19.840,2.7,2.0,88.0,19.1836666666667,-155.4955,"2 km SW of P?hala, Hawaii",",hv73312942,us6000jjb3,",34.29,Hawaii,US
18959,2023-01-26 01:11:28.150,2.81,2.7,49.0,36.7775,-121.4841667,"9km SSE of San Juan Bautista, CA",",nc73837451,us6000jjaz,",4.73,California,US
18963,2023-01-25 17:43:57.530,2.89,3.8,22.0,38.8208333,-122.795,"6km NW of The Geysers, CA",",nc73837161,us6000jj88,",2.96,California,US
18964,2023-01-25 17:17:43.240,3.21,2.0,202.0,19.0496666666667,-155.4255,"16 km E of Naalehu, Hawaii",",hv73312697,us6000jj83,",37.08,Hawaii,US
18969,2023-01-25 10:38:48.100,2.75,4.3,150.0,33.8978333,-118.6956667,"15km S of Malibu Beach, CA",",ci40161431,us6000jj4a,",13.44,California,US
18970,2023-01-25 10:22:32.970,2.9,4.1,151.0,33.883,-118.6923333,"17km S of Malibu Beach, CA",",ci40161407,us6000jj47,",10.98,California,US
18971,2023-01-25 10:03:33.360,3.61,4.9,134.0,33.8863333,-118.7026667,"16km S of Malibu Beach, CA",",ci40161287,us6000jj46,",13.83,California,US
18972,2023-01-25 10:01:41.890,3.53,4.2,46.0,35.8515,-97.19116667,"5 km ENE of Meridian, Oklahoma",",ok2023bspx,us6000jj44,",7.98,Oklahoma,US
18973,2023-01-25 10:00:54.680,4.19,4.5,134.0,33.885,-118.7045,"16km S of Malibu Beach, CA",",ci40161279,at00rp1d5j,us6000jj43,ew1674640860,",14.71,California,US
18975,2023-01-25 08:35:29.410,3.59,3.0,182.0,19.1471666666667,-155.369,"13 km ESE of P?hala, Hawaii",",us6000jj3w,hv73312432,pt23025000,",30.36,Hawaii,US
18977,2023-01-25 07:48:18.020,2.55,2.0,63.0,37.5478333,-118.8758333,"13km SE of Mammoth Lakes, CA",",nc73836951,us6000jj3q,",6.66,California,US
18978,2023-01-25 07:37:56.570,2.69000006,1.0,197.0,19.2271671295166,-155.42399597168,"Island of Hawaii, Hawaii",",hv73312382,us6000jj3n,",31.9300003051758,Hawaii,US
18982,2023-01-25 05:13:32.170,2.79,3.8,70.0,41.5,-112.1718333,Utah,",uu60530292,us6000jj30,",6.87,Utah,US
18984,2023-01-25 01:47:20.640,2.53,4.1,83.0,40.5713333,-124.2338333,"3km ESE of Ferndale, CA",",nc73836866,us6000jj2i,",9.23,California,US
18991,2023-01-24 20:33:56.557,2.6,2.2,56.0,31.68213056,-104.394701,"54 km S of Whites City, New Mexico",",tx2023brpj,us6000jj06,",6.131567383,New Mexico,US
18997,2023-01-24 18:20:03.730,2.69,4.3,34.0,40.4476667,-124.0195,"9km SE of Rio Dell, CA",",nc73836746,us6000jiyf,",23.54,California,US
19007,2023-01-24 09:52:54.610,2.68,1.0,202.0,19.0543327331543,-155.40966796875,"17 km E of Naalehu, Hawaii",",hv73311477,us6000jivv,",34.7400016784668,Hawaii,US
19015,2023-01-24 05:52:23.260,2.6,2.2,114.0,37.2064,-97.8194,"3 km ENE of Freeport, Kansas",",us6000jiv0,",5.0,Kansas,US
19019,2023-01-24 04:50:38.400,2.65,2.2,225.0,42.0325,-124.457,"14 km W of Brookings, Oregon",",uw61894547,us6000jiun,",-0.43,Oregon,US
19022,2023-01-24 02:19:41.540,2.65,3.4,214.0,42.03933333333333,-124.39366666666666,near the coast of Oregon,",uw61894537,us6000jitr,",6.47,Oregon,US
19024,2023-01-23 23:16:45.851,3.0,1.0,247.0,43.3089,-127.3043,off the coast of Oregon,",us6000jit7,",10.0,Oregon,US
19027,2023-01-23 20:12:38.040,2.51,1.0,167.0,20.2938333333333,-156.610833333333,"Maui region, Hawaii",",us6000jisf,hv73311012,",4.54,Hawaii,US
19032,2023-01-23 13:58:02.950,3.62,3.4,31.0,37.1093333,-121.5168333,"9km ENE of San Martin, CA",",nc73836266,us7000j6c9,",5.65,California,US
19051,2023-01-22 21:49:17.570,2.87,2.7,233.0,40.522,-124.4258333,"15km WSW of Ferndale, CA",",nc73836031,us7000j6a2,",17.94,California,US
19053,2023-01-22 20:06:37.243,2.8,2.0,96.0,38.7536,-97.0237,"7 km SW of Woodbine, Kansas",",us7000j69t,",5.0,Kansas,US
19069,2023-01-22 08:53:29.160,2.66,3.4,40.0,36.365,-89.49,"2 km SW of Tiptonville, Tennessee",",nm60507521,us7000j676,",7.39,Tennessee,US
19071,2023-01-22 08:27:30.600,3.12,3.1,199.0,19.0571670532227,-155.422164916992,"16 km E of Naalehu, Hawaii",",us7000j66z,hv73309987,",35.7700004577637,Hawaii,US
19074,2023-01-22 04:52:33.076,2.8,2.2,55.0,31.61560975,-103.9970738,"38 km NNW of Toyah, Texas",",us7000j668,tx2023bmtf,",8.908032227,Texas,US
19079,2023-01-22 01:04:49.350,2.5,3.1,36.0,36.10466667,-97.837,"5 km E of Hennessey, Oklahoma",",ok2023bmls,us7000j65j,",6.78,Oklahoma,US
19085,2023-01-21 23:58:55.220,2.52,1.0,180.0,39.7531667,-124.0403333,"18km W of Cape Vizcaino, CA",",nc73835521,us7000j657,",3.13,California,US
19091,2023-01-21 20:16:53.128,3.1,2.2,47.0,31.60928415,-103.9636918,"36 km WSW of Mentone, Texas",",tx2023bmcf,us7000j647,",8.548120117,Texas,US
19138,2023-01-21 03:28:11.510,2.55,1.0,49.0,38.8075,-122.786,"4km NW of The Geysers, CA",",nc73834921,",0.99,California,US
19139,2023-01-21 03:27:50.440,3.06,3.4,21.0,38.8208333,-122.788,"6km NNW of The Geysers, CA",",nc73834926,ew1674271670,us7000j5zw,",0.9,California,US
19141,2023-01-21 00:55:54.420,2.66,3.8,101.0,37.379,-122.2308333,"1km SE of Portola Valley, CA",",nc71129769,us6000jqn1,",7.71,California,US
19142,2023-01-21 00:55:49.680,2.53,3.4,45.0,37.3781667,-122.2253333,"1km SE of Portola Valley, CA",",nc73834856,us7000j5z9,",7.25,California,US
19158,2023-01-20 10:32:16.720,3.03,2.2,154.0,19.2095,-155.401833333333,"8 km E of P?hala, Hawaii",",us7000j5qp,hv73308437,",31.94,Hawaii,US
19159,2023-01-20 08:01:14.570,4.26,4.1,89.0,41.128,-123.8753333,"16km WSW of Weitchpec, CA",",ew1674201680,nc73834441,us7000j5qc,",25.27,California,US
19160,2023-01-20 07:15:39.920,3.02,3.4,131.0,36.484,-120.6923333,"8km NNW of New Idria, CA",",nc73834401,us7000j5q7,",10.28,California,US
19161,2023-01-20 07:09:07.840,2.88,4.6,56.0,37.3741667,-122.2261667,"1km SE of Portola Valley, CA",",nc73834386,us7000j5q4,",7.28,California,US
19171,2023-01-20 01:18:07.660,3.59,3.8,85.0,38.7511667,-123.0948333,"9km SW of Cloverdale, CA",",nc73834231,ew1674177490,us7000j5nm,",6.28,California,US
19181,2023-01-19 20:30:07.050,3.66,3.4,89.0,41.1286667,-123.8765,"16km WSW of Weitchpec, CA",",nc73834131,us7000j5ln,",26.26,California,US
19184,2023-01-19 19:21:41.850,3.16,3.6,37.0,36.8073333,-121.532,"4km S of San Juan Bautista, CA",",nc73834081,us7000j5ld,",4.17,California,US
19188,2023-01-19 17:15:55.930,3.56,4.3,32.0,36.8096667,-121.531,"4km S of San Juan Bautista, CA",",nc73834041,us7000j5kf,",5.32,California,US
19194,2023-01-19 14:20:55.130,3.03,3.4,31.0,36.382,-97.6435,"6 km ENE of Fairmont, Oklahoma",",ok2023bhzl,us7000j5i5,",7.83,Oklahoma,US
19196,2023-01-19 13:58:40.370,3.35,3.1,36.0,35.8578333,-117.6995,"21km ESE of Little Lake, CA",",ci40403984,us7000j5hz,",8.5,California,US
19201,2023-01-19 11:45:11.189,4.9,2.7,82.0,53.4086,-163.5485,"161 km S of False Pass, Alaska",",us7000j5hk,ak023vm11eq,",8.534,Alaska,US
19212,2023-01-19 00:29:12.638,2.6,2.0,56.0,44.2598,-116.218,"11 km WSW of Smiths Ferry, Idaho",",us7000j5dm,",10.398,Idaho,US
19220,2023-01-18 07:28:50.880,2.79,3.1,36.0,35.3228333,-118.5685,"24km NNW of Tehachapi, CA",",ci40403560,us7000j56d,",3.77,California,US
19232,2023-01-18 00:17:14.699,2.63,3.8,36.0,36.10516667,-97.8355,"5 km E of Hennessey, Oklahoma",",us7000j50z,ok2023bfcd,",7.46,Oklahoma,US
19238,2023-01-17 16:35:27.184,2.9,3.4,88.0,42.6878,-111.7715,"10 km ESE of Bancroft, Idaho",",us7000j4x3,uu60529842,",5.0,Idaho,US
19248,2023-01-17 09:08:05.370,2.8,2.2,282.0,40.4,-125.1436667,"73km W of Petrolia, CA",",nc73833076,us7000j4us,",10.0,California,US
19252,2023-01-17 01:49:09.000,2.64,3.1,60.0,40.4013333,-124.1363333,"11km SSW of Rio Dell, CA",",nc73832996,us7000j4te,",23.93,California,US
19255,2023-01-16 23:13:36.510,2.65,2.0,232.0,40.504,-124.4266667,"16km WSW of Ferndale, CA",",nc73832961,us7000j4sv,",17.62,California,US
19277,2023-01-16 03:43:37.950,2.63,2.0,60.0,37.5238333,-118.7866667,"10km WSW of Toms Place, CA",",nc73832651,nn00854871,us7000j4mc,",5.85,California,US
19288,2023-01-15 22:51:35.920,3.38,3.5,55.0,37.2951667,-120.028,"21km ENE of Le Grand, CA",",nc73832526,us7000j4la,",16.43,California,US
19298,2023-01-15 12:05:26.120,2.68,2.2,178.0,20.2558333333333,-155.588166666667,"14 km N of Kukuihaele, Hawaii",",hv73304227,us7000j4ii,",31.77,Hawaii,US
19309,2023-01-15 01:28:40.000,3.28,3.4,57.0,19.2438333333333,-155.508,"Island of Hawaii, Hawaii",",hv73303932,us7000j4g7,",8.65,Hawaii,US
19325,2023-01-14 06:27:22.051,3.3,3.9,123.0,44.6651,-68.5787,"7 km ESE of Dedham, Maine",",us7000j4c9,",9.593,Maine,US
19329,2023-01-14 03:06:21.670,3.2,2.9,108.0,38.5285,-119.5205,"4km WNW of Walker, CA",",nc73831751,nn00854821,us7000j4bd,",5.56,Nevada,US
19344,2023-01-13 10:02:52.520,3.5,3.4,223.0,40.5245,-124.41,"14km WSW of Ferndale, CA",",ew1673604170,us7000j43j,nc73831546,",18.4,California,US
19346,2023-01-13 08:02:10.470,2.69,3.8,83.0,41.1438333,-123.465,"21km ESE of Weitchpec, CA",",nc73831506,us7000j436,",37.72,California,US
19349,2023-01-13 06:11:25.550,3.43,3.1,157.0,19.205,-155.397333333333,"8 km E of P?hala, Hawaii",",hv73302552,us7000j42q,",30.75,Hawaii,US
19355,2023-01-13 00:43:14.352,2.5,2.0,51.0,31.71690389,-104.2668325,"51 km SSE of Whites City, New Mexico",",tx2023avzm,us7000j41a,",7.005639647999999,New Mexico,US
19369,2023-01-12 08:07:27.610,2.64,2.2,63.0,37.7531666666667,-84.7186666666667,"4 km E of Burgin, Kentucky",",se60500283,us7000j3um,",35.29,Kentucky,US
19373,2023-01-12 04:02:16.113,2.9,2.0,255.0,40.3812,-125.7807,"130 km W of Ferndale, California",",us7000j3tc,",10.0,California,US
19384,2023-01-11 18:59:20.030,3.23,3.8,14.0,33.6998333,-116.7613333,"6km SW of Idyllwild, CA",",ci40401704,us7000j3qi,",15.82,California,US
19386,2023-01-11 17:21:42.950,4.05,3.1,234.0,40.5213333,-124.9323333,"57km W of Ferndale, CA",",us7000j3pq,nc73831091,ew1673457710,",17.86,California,US
19395,2023-01-11 10:17:18.204,5.0,4.0,187.0,43.9646,-128.7389,Off the coast of Oregon,",us7000j3ld,",10.0,Oregon,US
19403,2023-01-11 04:50:15.920,2.88,3.8,48.0,40.9251667,-111.6248333,"13 km SSE of Morgan, Utah",",us7000j3k6,uu60529522,",6.72,Utah,US
19410,2023-01-11 00:41:27.280,2.65,2.7,136.0,38.8269997,-122.7621689,"3km W of Cobb, CA",",nc73830916,",-0.89,California,US
19414,2023-01-10 21:27:07.050,2.99,2.9,25.0,36.8343333,-121.5731667,"3km WSW of San Juan Bautista, CA",",nc73830836,us7000j3hu,",6.16,California,US
19425,2023-01-10 18:32:14.700,3.61,3.6,107.0,40.9488333,-124.0303333,"6km E of McKinleyville, CA",",nc73830791,us7000j3gt,",22.2,California,US
19428,2023-01-10 16:01:46.672,2.5,2.2,68.0,31.67959131,-104.3602233,"55 km S of Whites City, New Mexico",",tx2023arrh,us7000j3er,",5.565991211000001,New Mexico,US
19429,2023-01-10 15:34:50.590,3.15,3.2,49.0,36.0841667,-118.9036667,"10km ENE of Porterville, CA",",ci40155183,us7000j3en,",7.64,California,US
19438,2023-01-10 09:05:47.018,4.0,1.0,184.0,55.5064,-149.2594,"299 km SE of Chiniak, Alaska",",us7000j3d3,ak023gorjsh,",10.0,Alaska,US
19442,2023-01-10 06:59:49.720,2.72,3.8,29.0,37.7398333,-122.128,"3km NE of San Leandro, CA",",nc73830631,us7000j3ch,",6.75,California,US
19444,2023-01-10 06:13:47.520,2.67,1.0,235.0,19.5533333333333,-156.004333333333,"4 km WSW of Kahaluu-Keauhou, Hawaii",",us7000j3ce,hv73300642,",36.72,Hawaii,US
19455,2023-01-09 21:49:02.500,2.84,3.8,27.0,36.8201667,-121.555,"3km SSW of San Juan Bautista, CA",",nc73830451,us7000j3ab,",3.94,California,US
19456,2023-01-09 21:23:19.200,3.11,2.2,105.0,19.173,-155.500333333333,"4 km SW of P?hala, Hawaii",",us7000j3a2,hv73300277,",31.42,Hawaii,US
19457,2023-01-09 19:42:56.460,3.18,3.4,16.0,33.396,-116.3966667,"16km N of Borrego Springs, CA",",ci40155015,us7000j39m,",4.89,California,US
19459,2023-01-09 17:49:05.960,2.7,3.1,34.0,38.7881667,-122.7616667,"1km NNW of The Geysers, CA",",nc73830356,us7000j36i,",2.03,California,US
19460,2023-01-09 16:48:10.190,2.71,3.4,271.0,19.5681666666667,-156.243166666667,"26 km WSW of Kailua-Kona, Hawaii",",hv73300112,us7000j368,",32.42,Hawaii,US
19462,2023-01-09 14:40:04.330,2.75,2.7,66.0,39.9291667,-120.747,"3km N of Greenhorn, CA",",nc73830301,nn00854644,us7000j350,",2.32,California,US
19463,2023-01-09 14:26:51.770,2.5,3.4,50.0,36.5941667,-121.2033333,"9km NW of Pinnacles, CA",",nc73830291,us7000j34x,",6.82,California,US
19465,2023-01-09 10:47:49.280,2.63,3.1,45.0,36.1711667,-118.029,"12km S of Olancha, CA",",ci40154919,us7000j33t,",2.17,California,US
19468,2023-01-09 07:53:12.013,2.5,2.0,50.0,28.94989014,-98.02286305,"3 km S of Falls City, Texas",",tx2023apfq,us7000j331,",3.399210612,Texas,US
19471,2023-01-09 05:26:59.550,2.7,2.0,101.0,19.1756666666667,-155.501166666667,"3 km SW of P?hala, Hawaii",",hv73299727,us7000j32e,",31.27,Hawaii,US
19473,2023-01-08 22:20:11.475,3.4,2.9,55.0,28.93890381,-98.03733915,"5 km SSW of Falls City, Texas",",us7000j31c,tx2023aoms,",4.915405273,Texas,US
19474,2023-01-08 21:47:29.447,3.2,4.1,72.0,31.006442,-103.6457569,"9 km ENE of Balmorhea, Texas",",us7000j318,tx2023aolq,",10.70759277,Texas,US
19527,2023-01-06 21:14:02.200,2.78,2.0,75.0,35.946,-120.0101667,"8km SSW of Kettleman City, CA",",nc73829416,us7000j2ne,",11.23,California,US
19531,2023-01-06 17:00:52.300,2.6,3.8,86.0,39.6302,-107.4709,"6 km NNW of Chacra, Colorado",",us7000j2lr,",9.139,Colorado,US
19533,2023-01-06 14:23:09.220,3.23,4.1,244.0,40.7335,-125.2478333,"85km WNW of Ferndale, CA",",nc73829351,us7000j2kg,",24.22,California,US
19535,2023-01-06 13:28:04.220,3.4,3.5,67.0,31.65838483,-104.2938384,"57 km S of Whites City, New Mexico",",tx2023akeh,us7000j2iv,",6.131567383,New Mexico,US
19540,2023-01-06 12:27:19.500,3.27,3.4,161.0,40.7068333,-124.2103333,"3km SW of Humboldt Hill, CA",",nc73829331,us7000j2ik,",18.71,California,US
19552,2023-01-06 01:28:19.570,3.26,3.3,123.0,19.4173333333333,-155.279666666667,"5 km WSW of Volcano, Hawaii",",us7000j2g3,hv73297477,",0.57,Hawaii,US
19562,2023-01-05 10:00:33.030,2.59,3.4,17.0,33.3955,-116.393,"16km N of Borrego Springs, CA",",ci40153855,us7000j296,",3.82,California,US
19567,2023-01-05 06:44:55.810,3.51,3.4,145.0,19.229,-155.393333333333,"9 km ENE of P?hala, Hawaii",",hv73295577,us7000j28l,",33.54,Hawaii,US
19571,2023-01-05 02:38:06.300,2.5300000000000002,1.0,101.0,42.2625,-122.08383333333333,Oregon,",uw61901446,us7000j273,",16.26,Oregon,US
19578,2023-01-04 20:49:34.070,3.0,2.0,60.0,36.0211667,-117.7673333,"16km NE of Little Lake, CA",",ci40153687,us7000j256,",1.5,California,US
19588,2023-01-04 11:40:58.781,2.9,3.8,56.0,31.60915019,-103.969743,"36 km NNW of Toyah, Texas",",tx2023agjr,us7000j22h,",8.638098145,Texas,US
19597,2023-01-04 07:03:36.770,3.28,3.1,100.0,19.18,-155.511166666667,"4 km SW of P?hala, Hawaii",",us7000j20l,hv73294497,",35.26,Hawaii,US
19602,2023-01-04 05:27:27.140,2.84,0.0,66.0,38.5425,-119.541,"6km WNW of Walker, CA",",nc73828626,nn00854493,us7000j205,",3.58,Nevada,US
19603,2023-01-04 04:54:42.219,3.2,2.2,77.0,31.69159742,-104.4890112,"54 km S of Whites City, New Mexico",",us7000j1zx,tx2023afwf,",6.594311523,New Mexico,US
19609,2023-01-04 00:46:01.840,2.57,2.0,68.0,36.3015,-120.4271667,"19km NNW of Coalinga, CA",",nc73828576,us7000j1z3,",13.75,California,US
19611,2023-01-03 23:10:43.490,2.78,3.1,31.0,40.0958333,-121.0003333,"5km NNW of Indian Falls, CA",",us7000j1yh,nc73828546,nn00854482,",8.03,California,US
19614,2023-01-03 21:44:30.080,3.19,3.4,94.0,41.7943333,-111.9201667,"1 km NE of Benson, Utah",",us7000j1xj,uu60529092,",0.79,Utah,US
19616,2023-01-03 21:27:27.555,2.7,1.0,55.0,31.62432781,-104.1197855,"46 km NW of Toyah, Texas",",us7000j1xe,tx2023afhn,",6.080151367,Texas,US
19626,2023-01-03 13:31:20.660,4.0,5.6,70.0,19.4895,-155.267166666667,"6 km NW of Volcano, Hawaii",",hv73293392,us7000j1tr,",18.8,Hawaii,US
19631,2023-01-03 09:38:12.630,2.66,3.8,94.0,41.7976667,-111.9216667,"1 km NNE of Benson, Utah",",uu60529057,us7000j1ss,",5.44,Utah,US
19634,2023-01-03 06:45:22.840,2.7,2.2,61.0,40.1091667,-120.9998333,"5km SW of Greenville, CA",",nc73828266,us7000j1rx,",12.71,California,US
19636,2023-01-03 05:50:12.760,2.82,3.1,94.0,41.8058333,-111.9253333,"2 km N of Benson, Utah",",uu60529032,us7000j1rk,",7.43,Utah,US
19645,2023-01-03 01:01:04.070,2.68,3.1,29.0,35.5026667,-118.3831667,"14km SE of Bodfish, CA",",ci40153151,us7000j1qi,",5.56,California,US
19647,2023-01-02 22:41:09.120,3.06,2.2,72.0,37.371,-118.368,"2km ENE of Bishop, CA",",nc73828121,us7000j1ps,",5.96,California,US
19649,2023-01-02 20:45:43.720,2.92,3.1,129.0,19.244499206543,-155.40950012207,"8 km ENE of P?hala, Hawaii",",us7000j1nx,hv73292287,",33.8300018310547,Hawaii,US
19656,2023-01-02 13:37:26.790,2.57,3.4,154.0,41.8071667,-111.951,"2 km NW of Benson, Utah",",uu60032349,",6.98,Utah,US
19657,2023-01-02 13:37:09.790,2.54,3.1,94.0,41.8068333,-111.9213333,"2 km NNE of Benson, Utah",",uu60528987,us7000j1m5,",0.65,Utah,US
19668,2023-01-02 08:59:42.100,2.54,2.4,223.0,40.5218333,-124.394,"12km WSW of Ferndale, CA",",nc73827871,us7000j1km,",18.54,California,US
19688,2023-01-02 03:20:18.170,2.61,2.0,16.0,33.3975,-116.3898333,"16km N of Borrego Springs, CA",",ci40152887,us7000j1i9,",3.36,California,US
19693,2023-01-01 21:23:47.177,3.3,2.7,58.0,31.68425514,-104.421101,"54 km S of Whites City, New Mexico",",tx2023abqi,us7000j1h5,tx2023abqj,",6.131567383,New Mexico,US
19695,2023-01-01 18:35:04.510,5.35,7.2,44.0,40.409,-123.971,"15km SE of Rio Dell, CA",",ew1672598110,us7000j1g8,nc73827571,at00rntkye,usauto7000j1g8,",30.63,California,US
19696,2023-01-01 18:34:14.740,3.77,3.6,252.0,19.1401666666667,-156.197,"46 km W of Hawaiian Ocean View, Hawaii",",hv73290972,us7000j1g7,",38.49,Hawaii,US
19715,2023-01-01 06:49:10.190,3.9,4.1,72.0,36.595,-121.2063333,"9km NW of Pinnacles, CA",",ew1672555750,nc73827436,us7000j1cv,",7.74,California,US
19716,2023-01-01 06:19:31.410,3.14,3.4,66.0,36.5958333,-121.2001667,"9km NW of Pinnacles, CA",",nc73827426,us7000j1cm,",8.14,California,US
19717,2023-01-01 05:18:17.780,2.7,4.1,154.0,40.7038333,-124.2061667,"3km SSW of Humboldt Hill, CA",",nc73827421,ew1672550300,us7000j1cb,",18.47,California,US
19725,2022-12-31 17:57:17.820,2.75,3.4,236.0,40.5213333,-124.4023333,"13km WSW of Ferndale, CA",",nc73827301,us7000j1a5,",18.87,California,US
19733,2022-12-31 12:12:26.650,4.14,4.8,16.0,33.3975,-116.3933333,"16km N of Borrego Springs, CA",",ci40151807,us7000j18c,ew1672488750,",3.88,California,US
19734,2022-12-31 11:41:09.460,3.47,3.4,25.0,34.3556667,-116.9218333,"11km SSE of Lucerne Valley, CA",",ci40151719,us7000j183,",4.73,California,US
19736,2022-12-31 09:18:30.970,2.64,2.2,187.0,40.5391667,-124.3166667,"6km SW of Ferndale, CA",",nc73827136,us7000j17p,",17.7,California,US
19737,2022-12-31 09:02:23.470,2.76,3.3,68.0,38.4573333,-122.015,"6km WNW of Allendale, CA",",nc73827126,us7000j17m,",18.5,California,US
